Inst.  Date     Time      X   Y  Dist. Counts   Geog.Pos.    Geomag.Pos.    MLT
WIC_2000_0811_04:15:09  107 222  37105  5683  50.23 264.29  60.52 330.80  21.46
WIC_2000_0811_06:42:17   94 168  49281  8426  50.58 269.46  61.30 338.49   0.38
WIC_2000_0811_08:22:26  151 165  51938  8672  59.43 228.22  62.82 282.03  22.27
WIC_2000_0811_10:37:20  178 157  49162  6190  62.31 205.12  60.99 259.40  22.94
WIC_2000_0812_07:49:40  163 173  29462 15856  64.51 151.84  58.23 218.35  17.49
WIC_2000_0812_10:18:49  101 158  46272  9929  55.79 221.16  57.61 277.02  23.82
WIC_2000_0812_12:29:37  139 141  51723  8293  62.52 193.25  59.27 249.98   0.13
WIC_2000_0813_00:05:02  142 184  44133  6469  59.74 327.25  62.19  55.39  23.07
WIC_2000_0813_19:20:16  136 136  49743  3518  69.64  87.93  64.49 161.73   1.47
WIC_2000_0814_11:33:37  171 140  41346  1761  66.16 210.11  65.82 260.79  23.95
WIC_2000_0814_22:24:03  136 159  51894  4517  66.62 349.61  65.96  78.59  22.96
WIC_2000_0816_04:21:32  136 175  49494  2187  57.79 270.89  68.33 340.14  22.20
WIC_2000_0816_05:22:50  139 176  45882  3952  56.09 270.01  66.67 338.90  23.13
WIC_2000_0817_09:15:37  141 150  48153  8461  65.22 224.17  67.67 273.96  22.63
WIC_2000_0817_22:59:44  170 158  49647  4613  66.97 317.10  71.61  50.38  21.66
WIC_2000_0818_09:05:10  133 145  48011  2527  67.06 230.37  70.74 278.44  22.76
WIC_2000_0819_01:00:04  165 160  51675  3001  64.31 324.19  67.61  55.30  23.95
WIC_2000_0819_15:27:05  157 128  51843  2198  73.48 145.53  67.58 208.81   0.21
WIC_2000_0820_16:38:20  103 119  41595  4608  74.79 144.08  68.89 206.76   1.41
WIC_2000_0820_20:49:41  136 139  51814  1784  71.72  45.42  67.26 125.95   0.57
WIC_2000_0820_21:46:54  139 125  50514  3215  74.10  54.06  69.29 134.57   2.08
WIC_2000_0821_07:58:27  102 164  46995  5281  57.25 238.21  62.86 294.08  22.72
WIC_2000_0821_09:05:53  153 158  50387  4005  65.59 203.25  64.03 255.77  21.27
WIC_2000_0821_11:00:19  145 145  51847  6345  73.66 143.78  67.74 207.41  19.88
WIC_2000_0821_21:44:33  161 174  44993  4118  63.74 343.55  63.72  71.62  21.84
WIC_2000_0823_08:17:41  124 149  45276  2301  58.48 246.29  65.77 303.31  23.66
WIC_2000_0823_16:32:44  137 159  45484  2854  68.12  85.92  63.08 159.70  22.18
WIC_2000_0823_20:56:20  140 147  50511  2082  71.80  18.61  68.59 105.35  23.31
WIC_2000_0824_04:55:04   36 201  33597  5315  54.92 273.50  65.66 344.55  23.08
WIC_2000_0824_12:53:11  150 130  44669  1837  69.34 185.07  65.41 239.61  23.92
WIC_2000_0824_22:38:08  139 150  50678  1725  69.31 358.66  67.73  87.95  23.81
WIC_2000_0825_03:16:02  139 171  43927  1929  60.47 291.92  69.75  14.40  23.45
WIC_2000_0825_10:33:52   70 118  41998  2698  63.57 235.04  68.37 286.53   0.75
WIC_2000_0825_12:24:12  128 123  49620  1812  69.75 197.90  67.48 248.30   0.02
WIC_2000_0825_16:23:16  140 121  48527  1618  74.41 137.03  68.43 201.93   0.83
WIC_2000_0826_00:01:32  103 191  36901  5687  63.12 315.73  68.03  46.03  22.40
WIC_2000_0826_05:38:40   98 146  50929  3759  56.04 283.97  66.40   1.23   0.92
WIC_2000_0827_03:47:57   40 207  31117  2471  58.89 280.41  69.33 355.83  22.74
WIC_2000_0827_11:17:26  133 123  47824  3409  66.66 215.00  67.25 264.45  23.99
WIC_2000_0827_18:49:34   94 156  37674  2567  70.54  64.47  65.69 141.13  23.59
WIC_2000_0827_20:58:16  139 145  48575  3431  71.85  26.35  68.17 111.20  23.73
WIC_2000_0828_00:24:38  133 160  50801  3680  63.38 327.55  66.01  57.77  23.56
WIC_2000_0828_09:36:52   99 160  41355  7474  64.91 204.98  63.63 257.61  21.92
WIC_2000_0828_12:26:27  139 146  51352  8053  68.51 158.78  62.66 221.70  22.30
WIC_2000_0828_23:26:58   61 153  38800  3602  65.06   8.05  62.40  91.74   0.88
WIC_2000_0829_02:20:38  149 185  50836  3952  51.32 283.30  61.91 359.69  21.57
WIC_2000_0829_05:38:49  119 172  48933  6650  52.27 259.67  61.96 323.77  22.44
WIC_2000_0829_15:25:46  139 147  47769  6471  71.14 107.61  65.56 179.36  22.33
WIC_2000_0829_18:11:16  123 150  51864  2752  68.42  60.66  63.73 136.95  22.65
WIC_2000_0830_05:54:40  128 167  48610  2612  58.44 250.76  66.58 309.27  21.74
WIC_2000_0830_08:01:21  142 141  51958  2520  65.54 237.58  70.80 287.80  22.40
WIC_2000_0830_09:16:56  122 146  50896  3798  67.19 208.06  66.49 258.30  21.66
WIC_2000_0830_20:19:28  143 144  49157  2896  69.47  42.73  65.15 122.28  23.83
WIC_2000_0830_23:17:13  128 161  51255  4865  64.26 331.78  66.16  62.15  22.75
WIC_2000_0831_00:45:05  149 166  47566  2737  61.98 318.24  66.37  47.95  23.24
WIC_2000_0831_07:24:05   11 166  30915  6667  58.78 252.93  67.28 312.14  23.41
WIC_2000_0831_08:23:18   78 155  38870  6567  64.55 230.46  68.34 280.81  22.30
WIC_2000_0831_13:01:09  102 120  51783  3209  67.91 186.66  64.08 241.83   0.27
WIC_2000_0901_01:51:57  143 176  51385  4401  56.52 286.58  66.61   5.35  21.49
WIC_2000_0901_14:03:56  117 123  45657  3164  72.46 165.00  67.14 223.27   0.06
WIC_2000_0901_16:16:44  167 144  51589  4020  72.69  82.14  67.43 157.16  21.78
WIC_2000_0901_18:43:50  157 151  49777  5053  69.44  44.33  65.07 123.58  22.34
WIC_2000_0902_02:54:44   53 147  37648  5307  61.12 322.86  64.54  52.03   1.64
WIC_2000_0902_06:29:14  111 155  51563  3928  53.11 257.48  62.48 320.46  23.07
WIC_2000_0902_08:39:59  105 141  50457  3952  58.92 233.78  63.54 288.21  23.07
WIC_2000_0903_15:03:28  168 138  43496  1134  71.60 127.27  65.68 195.88  23.14
WIC_2000_0903_23:30:40  143 170  47726  3326  62.44 322.86  65.92  52.80  22.35
WIC_2000_0904_01:18:57  143 173  51683  2740  57.54 295.19  66.43  18.30  21.82
WIC_2000_0904_17:29:54  131 148  50645  3941  69.71  65.42  64.90 141.62  22.22
WIC_2000_0905_03:22:55  102 173  45299  3467  57.16 282.85  67.55 359.60  22.62
WIC_2000_0905_04:40:33  130 162  49842  2947  59.98 263.98  69.94 328.47  21.83
WIC_2000_0905_14:56:06    6 188  25155  6042  72.11 100.52  66.60 173.08  21.54
WIC_2000_0905_17:27:11  141 148  44602  6074  73.81  57.58  68.93 137.17  21.88
WIC_2000_0905_20:53:30   99 135  51882  2078  68.32  40.94  64.07 120.12   0.26
WIC_2000_0906_08:06:10  105 150  46418  1703  62.70 227.24  65.84 278.93  21.92
WIC_2000_0906_21:13:14  137 176  40671  1862  65.57 345.43  65.40  74.46  21.54
WIC_2000_0907_01:44:55  123 170  51620  2612  56.39 296.21  65.14  19.40  22.33
WIC_2000_0907_10:48:52   72 157  36241  3868  70.15 175.99  65.41 232.70  21.47
WIC_2000_0908_05:32:57  121 154  51936  4187  57.40 260.19  67.04 323.28  22.37
WIC_2000_0908_08:32:43  116 118  45307  2678  55.88 251.52  64.21 311.35   0.53
WIC_2000_0908_17:30:31  118 146  48206 10461  69.16  73.04  64.26 148.18  22.70
WIC_2000_0908_21:23:24  139 153  50069  4426  65.55   7.46  62.97  91.62  22.85
WIC_2000_0909_06:13:02   76 161  41094  4706  59.15 252.64  67.60 311.58  22.26
WIC_2000_0909_11:13:18  122 125  50884  3100  70.23 194.97  67.56 245.75  22.76
WIC_2000_0910_11:06:21   77 115  43504  3677  66.22 212.45  66.32 262.68  23.78
WIC_2000_0911_15:41:16  127 149  44110  1304  72.19  87.43  66.89 161.64  21.55
WIC_2000_0911_17:52:00  166 147  51117  3603  72.29  31.99  68.32 115.90  20.96
WIC_2000_0912_04:05:23   31 200  31337  3741  55.21 272.09  65.91 342.29  22.21
WIC_2000_0912_08:30:53  124 134  51629  3498  61.36 229.95  65.11 282.62  22.61
WIC_2000_0912_09:34:11  101 131  51818  7033  64.65 214.27  65.09 265.45  22.47
WIC_2000_0912_19:02:36   87 173  37475  8333  64.03  41.27  59.78 118.31  22.32
WIC_2000_0912_20:24:17  123 164  45457  6774  64.07  14.58  60.90  96.27  22.20
WIC_2000_0913_00:02:50  110 167  51632  7154  58.31 315.51  63.13  43.32  22.26
WIC_2000_0913_13:38:24  159 139  51930  2705  71.09 128.01  65.16 196.68  22.03
WIC_2000_0913_15:14:23  128 120  50074  1935  73.07 135.28  67.09 201.46  23.81
WIC_2000_0913_16:07:30  158 141  47404  3068  70.92  91.76  65.64 165.31  22.28
WIC_2000_0913_21:59:30   71 228  22928  3079  67.83 324.58  71.10  58.63  21.25
WIC_2000_0914_00:26:26  119 171  43199  2672  63.74 307.00  70.35  36.52  22.19
WIC_2000_0914_02:12:39  126 154  49967  2587  61.12 301.12  68.89  27.65  23.37
WIC_2000_0914_05:08:18  109 146  50766  2072  57.64 269.80  68.14 338.38  23.00
WIC_2000_0914_15:05:16  124 136  45264  1901  72.92 115.59  67.12 185.79  22.64
WIC_2000_0914_16:04:30  130 122  48980  2110  73.14 120.89  67.26 190.07  23.88
WIC_2000_0914_17:22:07  177 148  51551  4242  71.71  32.19  67.75 115.54  20.40
WIC_2000_0915_04:55:05   91 166  43267  9224  60.72 255.52  69.57 315.03  21.23
WIC_2000_0915_21:01:42  129  99  50242 10422  69.28  77.21  64.32 151.96   2.53
WIC_2000_0916_07:35:24   11 175  30164  7098  62.47 225.45  65.23 277.30  21.39
WIC_2000_0916_10:57:33  140 145  49504 10671  69.41 163.21  63.80 224.33  21.12
WIC_2000_0916_14:52:25  124 141  48786  3376  67.43 114.95  61.81 186.48  22.52
WIC_2000_0916_21:02:43    6 223  21617  6376  67.13 358.02  65.52  85.52  22.12
WIC_2000_0917_00:47:14  105 162  48296 12656  56.61 321.17  60.08  48.30  23.32
WIC_2000_0917_03:20:25  101 176  51846  4098  51.72 265.94  62.15 333.07  20.88
WIC_2000_0917_12:42:33  103 173  35851  6678  69.63 116.38  63.93 187.32  20.49
WIC_2000_0917_19:10:35  146 153  49256  3378  69.05  19.22  65.77 103.32  21.46
WIC_2000_0918_04:10:12   72 168  43737  3218  47.42 278.55  58.38 352.23  22.99
